品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質（for網站）	材質備註	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理步驟備註	使用建議	處理後應該丟哪一類?	處理備註	回收狀況	使用場域	各縣市回收狀況	回收率	資源化比例	資源化比例	文案	內容撰寫QA（vs. REnato）	字數統計	標籤	補充說明	祝福文案	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
手搖飲料杯（示範格式）		手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	-	-				"吸管-PP/PE
封膜-PP/PE
優格杯	Re-lab	布丁杯	◯			◯	"封膜-複合材質
塑膠杯-塑膠(PS/PP)"	"封膜組成含塑膠PET、 PA、 鋁等
"	"封膜-採多層材質(含PET、 PA、 鋁等)
杯-塑膠(PS、PP)"	清洗			"封膜-一般垃圾
塑膠杯-塑膠容器類"		部分可回收	1,2,3	"封膜-不可回收
杯-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	享用完健康美味的優格或布丁後，你會怎麼處理哪？需要水蒸烤的布丁杯通常會使用標榜耐熱可達140度的PP塑膠杯，使用後經過清洗後杯身可以跟其他塑膠一起回收，而複合材質又輕薄的封膜則該丟入一般垃圾。但回收後的塑膠通常會被降級成次等材料，並規定不可再製成食物容器，盡可能還是減少使用比較環保。		142	A		要吃優格時膜都撕不乾淨
小吃紙袋	Re-lab	雞排紙袋、紙袋、蔥油餅袋	◯			✕	小吃紙袋-紙		不需拆解-紙	正確分類			小吃紙袋-一般垃圾		不可回收	1,2,3,6	不可回收		-	-	"沾滿食物水份與油脂的炸雞紙袋回收效率差，就丟進一般垃圾一起燒毀吧！南無（合掌
即使他們處理的過程相對塑膠更不會造成地球的負擔，但每一張紙其實都是砍伐林木、耗費許多能源與水製成，建議還是自備容器、減少使用才是愛護地球資源的做法。"		113	C		吐司掉地上時都是抹醬那面朝下
塑膠餐盒	Re-lab	塑膠盒	◯	使用-民眾不知道如何回收		✕	塑膠餐盒-塑膠(PP)		不需拆解-塑膠(PP)	清洗			塑膠餐盒-塑膠容器類		可回收	1,2,3,6	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	餐盒在食用後常會沾上各種油與醬汁，先以衛生紙簡單擦拭後沖洗，這些PP材質的塑膠都可以交由清潔人員以廢塑膠容器回收的。但盡可能自備環保餐具漸少這些一次性垃圾才是愛護環境的聰明做法喔		89	B		便當打開會都是滿滿三色豆
信用卡	Re-lab	金融卡、提款卡	◯			✕	信用卡-塑膠(PVC)		不需拆解-塑膠(PVC)	正確分類			信用卡-一般垃圾		不可回收	5	不可回收		-	-	由PVC塑膠製成的信用卡雖然在塑膠分類中為編號3，但材質經常添加可塑劑，內部可能也很有一些金屬或磁性物質，所以即使不再使用也因為回收程序困難無法再利用，基於資訊安全請把卡片剪掉之後直接丟到一般垃圾吧。		100	C		信用卡會被盜刷
披薩盒	Re-lab	pizza盒、比薩紙盒	◯			◯	"盒子-紙
防油隔熱紙-淋膜紙
固定架-塑膠"		"盒子-紙
防油隔熱紙-淋膜紙
固定架-塑膠"	清理			"盒子-紙容器類
防油隔熱紙-一般垃圾
固定架-一般塑膠類"		部分可回收	1,2,3,6	"盒子-可回收
防油隔熱紙-不可回收
固定架-可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	與親朋好友們共度節日時，你可能會叫幾盒香噴噴的披薩盒。但在杯盤狼藉之後，你都怎麼處理吃完的披薩盒呢？應該盡可能用餐具或紙巾刮下盒內剩餘的食物殘渣後，拆解攤平盒子後折疊集中，就可以以廢紙容器回收處理，而中間的三腳塑膠小支架擦去大多油份後也可與廢塑膠一同回收。	"油膩膩的可以嗎？
油膩的部分會在回收後處理"	128	A		披薩上面就會加鳳梨
水果網套	Re-lab	水果保護套、水果包裝	◯			◯	"緩衝墊-塑膠(EPE/EPP/PS)
套袋-塑膠(PE)"		"緩衝墊-塑膠(EPE、EPP、 PS)
套袋-塑膠(PE)"	清理			"緩衝墊-一般塑膠類
套袋-一般垃圾"		部分可回收	1,5	可回收	無資料	-	-	高價、柔軟的水果常常會被套上各種顏色的發泡網套，以減少在運輸過程中碰撞造成的耗損，大家常常會將拆下的網套直接丟入一般垃圾桶中，但其實這些由EPE、EPS製成的水果網套是可以完成簡單沖洗後收集回收的。如果數量太少可能會因為不符成本而不被特別回收，可以收集到一定的量之後再交由回收人員，或是認識寄給果農重複使用。		154	B		水果攤老闆會賣你比較貴
奶粉罐	Re-lab	營養品罐	◯			◯	"蓋子-塑膠
鐵罐-馬口鐵"		"蓋子-塑膠
鐵罐-馬口鐵、鋁"	清洗			"蓋子-一般塑膠類
鐵罐-廢鐵鋁容器"		可回收	2,3	"蓋子：可回收
罐子：可回收"	廢鐵鋁容器：45.79%	廢鐵容器：97.82%	廢鐵容器：97.82%	從嬰兒的奶粉到銀髮族的保健沖泡飲品，包裝很多會選用質輕的馬口鐵罐裝填，而鍍錫的主要目的是避免食品對馬口鐵的腐蝕。罐子的上方可能還有一個PP塑膠蓋，使用後經過沖洗後就分別可以廢鐵容器和塑膠回收囉。	L45 罐子不可回收？可以，我打錯，已改	97	A		吐司掉地上時都是抹醬那面朝下
打火機	Re-lab	賴打	◯			◯	"容器-塑膠
打火裝置-複合材質
燃料-碳氫化合物"	打火裝置包含塑膠及金屬	"容器-塑膠
打火裝置-塑膠、金屬
燃料-碳氫化合物"	排空內容物	請朝逆風方向於空曠處排空內容物，勿以外力方式破壞		"容器-一般垃圾
打火裝置-一般垃圾
燃料-一般垃圾"		不可回收	1,5	不可回收：目前確認新竹縣不可回收		-	-	打火機的樣式功能相當多元，回收處理方式可能不盡相同。但其中最常見的塑膠打火機在回收前應該將內容物用盡，如果仍有碳氫化合燃料殘留，需拿到空曠處排空後再進行回收，以保障回收人員與系統的安全。在太平洋上的中途島，每年有許多信天翁誤食各種塑膠，包含打火機，選用可重複填充使用的打火機或許是一個永續環境的做法。		150	C		會錯過要等很久的那班公車
菸盒	Re-lab	煙盒、香菸盒	◯			◯	"封膜-塑膠(BOPP)
紙盒-紙
內紙襯-鋁、紙"		"封膜-塑膠(BOPP)
紙盒-紙
內紙襯-鋁紙"	分解零件			"封膜-一般垃圾
紙盒-紙容器類
內紙襯-一般垃圾"		部分可回收	1,5,6	"封膜-可回收
紙盒-可回收
內紙襯-不可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	香煙盒由內層的紙盒、盒內的襯紙，跟最外層的塑膠包裝膜組成，包裝膜應該丟入一般垃圾，紙類則可以回收，相信這個一定考不倒大家，但是你知道濃縮了香菸內焦油與尼古丁的菸蒂不只不能回收，一旦流入下水道也會影響水體內的生物生存，所以記得菸頭也不要亂丟喔。		121	A		會錯過要等很久的那班公車
紙尿布	Re-lab	尿布	◯			◯	"親膚層-棉
吸水層-塑膠
防水層-塑膠"		"親膚層-棉
吸水層-塑膠
防水層-塑膠"	正確分類			"親膚層-一般垃圾
吸水層-一般垃圾
防水層-一般垃圾"		不可回收	2,5	不可回收		-	-	嬰兒的一生到底會需要使用多少紙尿布呢？粗估從新生到完全戒掉尿布大約會產生5000片的紙尿布！能夠不滲漏的紙尿布當然不是紙做的，內層的親膚層是透氣的不織布，內部的吸收體包含了高分子吸水材質與棉狀紙漿，最外層則是防水的PE外層，沾污與難以拆解的複合材質讓紙尿布必須以一般垃圾處理無法回收。如果希望一起減少塑膠垃圾，可以選購可重複使用的布尿布，跟紙尿布交替使用喔。		179	C	出生每天約需要六到七片、半歲到兩歲半之間一天大約需要四到五片，可能因為每個孩子的適應狀況不同，在完全戒斷尿布約半年的緩衝時間一天約需要三到四片紙尿布。粗略換算估計，一個新生兒到完全戒掉尿布大約會產生5000片的紙尿布	吐司掉地上時都是抹醬那面朝下
醫療口罩	Re-lab	口罩、拋棄式口罩	◯			複雜	"過濾層-塑膠(PP等)
鼻樑壓條-鐵絲/鋁/塑膠(PE)
彈性繩-尼龍"	過濾層-塑膠(PP等)、鼻樑壓條-鐵絲/鋁/塑膠(PE)、彈性繩-尼龍	"過濾層-塑膠(PP等)
鼻樑壓條-鐵絲、 鋁、 塑膠(PE)
彈性繩-尼龍"	正確分類			"過濾層-一般垃圾
鼻樑壓條-一般垃圾
彈性繩-一般垃圾"		不可回收	1,2,5,6	不可回收		-	-	疫情期間戴好口罩不僅保護自己也保護他人，當然不是叫大家源頭減量少用口罩，但是海邊常常可以撿到很多亂丟的口罩，如此不僅缺德，更是防疫的缺口。一片口罩是由數層功能不一的不織布、金屬片和尼龍彈性繩製成，因為材質多元、不易處理與防疫考量，使用完的口罩無法回收，請將口鼻接觸處向內折好丟到一般垃圾吧！		145	C		口罩繩子就會斷掉
馬桶刷	Re-lab	浴室刷	◯			◯	"柄-塑膠(ABS/PP)
收納盒-塑膠(ABS/PP)
刷毛-塑膠"		"柄-塑膠(ABS、PP)
收納盒-塑膠(ABS、PP)
刷毛-塑膠"	正確分類			"柄-一般垃圾
收納盒-一般垃圾
刷毛-一般垃圾"		不可回收	2,4	不可回收：新北市有明確提出不可回收，其餘縣市無說明		-	-	馬桶刷雖然全部都是塑膠製成，但在新北市出版的垃圾分類手冊中被列為不可回收項目，使用後請丟入一般垃圾中處理。		53	C	https://www.epd.ntpc.gov.tw/UploadFile/DownloadArea/20190626145034600896.pdf	拉肚子會找不到衛生紙
立可帶	Re-lab	修正帶	◯			複雜	"滾筒-鐵
外殼-塑膠
彈簧-鐵"		"鐵滾筒-鐵
外殼-塑膠
彈簧-鐵"	分解零件			"滾筒-一般垃圾
外殼-一般塑膠類
彈簧-一般垃圾"		部分可回收	1,5,6	可回收	無資料	-	-	由金屬滾筒、塑膠外殼、金屬彈簧組合成的立可帶，在使用完後，盡可能將金屬部份拆解下來另外回收，剩下的塑膠材質就可以與一般塑膠一起回收了。但塑膠回收後通常只能被降為次等材料，盡可能購買可更換替芯的立可帶，減少丟棄完整的立可帶，或是寫字時全心投入、減少錯字，都是可以減少塑膠垃圾產生的好方法喔！		144	C		原子筆寫沒兩次就會斷水
原子筆	Re-lab	筆	◯			◯	"筆管-塑膠
筆芯-塑膠
筆蓋-塑膠"		"筆管-塑膠
筆芯-塑膠
筆蓋-塑膠"	分解零件			"筆管-一般塑膠類
筆芯-一般垃圾
筆蓋-一般塑膠類"	"可整體回收：台北市、新北市
但其餘縣市於一般塑膠類僅公告塑膠管。"	部分可回收	1,2,5,6	"筆管-可回收
筆芯-不可回收
筆蓋-可回收
可整體回收：台北市、新北市，有明確公告可回收。
但其餘縣市於一般塑膠類僅公告塑膠管。"	無資料	-	-	原子筆種類千百種，雖然沒辦法一言以蔽之說明怎麼回收，但硬塑膠的筆管跟筆蓋可以一般塑膠一起回收，但含有墨水與金屬筆頭的的筆管則需要從筆身拆下後丟到一般垃圾處理。但比起做好分類回收，盡可能先把家中免費得到的各種筆完、減少購買新的筆才是更環保的選擇。		122	B		原子筆寫沒兩次就會斷水
鉛筆	Re-lab	筆	◯			◯	鉛筆-石墨、木頭		不須拆解-石墨、木	正確分類			鉛筆-一般垃圾		不可回收	1,2,5,6	不可回收		-	-	雖然自動鉛筆的發明讓鉛筆不再是書寫的唯一選擇，但是無論是對初習字的學童或是繪畫創作者，鉛筆還是佔有不敗的一席之地。隨著時代的演變，鉛筆已經不含鉛，而是由木頭包裹石墨條製成。無論是削下來的鉛筆屑還是整支的筆都不能回收，直接丟進一般垃圾掩埋或燒毀吧。		123	B		鉛筆寫沒兩次就斷芯
牙刷	Re-lab	-	◯			◯	"刷毛-塑膠(PA)
刷柄-塑膠(PP等)"		"刷毛-塑膠(PA)
刷柄-塑膠(PP等)"	正確分類			"刷毛-一般垃圾
刷柄-一般垃圾"		不可回收	4	不可回收		-	-	為了更多元的口腔清潔需求，牙刷廠商百家爭鳴開發出各種刷頭、刷毛設計，搭配各式的握柄，來讓消費者有更合乎自己口腔的清潔體驗。但也因此牙刷的材質多元，這樣的複合材質無法被回收，只能以一般垃圾丟棄。但如果想要一起減少廢棄牙刷的產生，可以選購木竹製的牙刷，有些甚至以動物鬃毛代替塑膠刷毛，也是一個無塑的消費選擇。	"為什麼牙刷不能回收呢？
因為裡面屬於複合材質，非單一材質"	152	C		洗臉的時候會擠到牙膏
牙膏		-	◯			◯	"包裝軟管-塑膠(PE)
牙膏-牙膏
瓶蓋-塑膠(PP/PE)"		"包裝軟管-塑膠(PE)
殘留的牙膏-牙膏
瓶蓋-塑膠(PP、PE)"	分解零件		將內容物清空，瓶蓋鎖緊	"包裝軟管-塑膠容器類
瓶蓋-塑膠容器類
牙膏-一般垃圾"		可回收	4	可回收	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	國家地理頻道的統計，人的一生中會消耗掉將近300條牙膏，即使你是減塑小達人，但為了口腔的健康，牙齒保健還是不能省。那使用後的牙膏該怎處理好呢？先再將管身剪開後用盡剩餘的牙膏，以清水清洗管身與蓋子後，就可以跟廢塑膠容器一起回收囉。雖然有廠商開始研發口腔清潔錠來取代牙膏，但距離普及可能還有一段時間，在這之前先一起好好回收牙膏容器吧！		165	B	"https://www.hsingchan.com.tw/product02.html

https://hwms.epa.gov.tw/dispPageBox/pubweb/pubwebCP.aspx?ddsPageID=RESOURCEANDRESOURCES&&dbid=3470362084"	洗臉的時候會擠到牙膏
透明雞蛋盒	RE-THINK	蛋盒	◯			◯	"盒體-塑膠(PET/PLA)
腰封-紙"		"盒體-塑膠(PET、PLA)、紙
腰封-紙"	清理			"盒體-塑膠容器類
腰封-廢紙類"		可回收	3	"盒體-可回收
腰封-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	魔鬼藏在細節裡，看起來單純的塑膠蛋盒其實材質多元、從PET、PVC到PLA都有。其中又以PVC無法被有效回收、PLA(生物可分解塑膠)在台灣沒有符合商業利益的廠商進行處理，因此僅有標示1號的PET可以回收。但多數的消費者在使用後會不假思索的通通跟廢塑膠一同回收，反而提高回收系統的成本，甚至回收效率也會劣化。應該將商品標籤分開後，將PET材質的蛋盒回收，其他材質則丟入一般垃圾中處理。		192	B		打蛋時蛋殼會跑進去
透明塑膠袋	RE-THINK		◯			✕	透明塑膠袋-塑膠(PE/PP)		不需拆解-塑膠(PE、PP )	清理		清理乾淨、不透明的塑膠袋不可回收	透明塑膠袋-一般塑膠類		可回收	1,2,3,4,5,6	透明且材質單一可以回收	無資料	-	-	大家都知道應該回收做環保，其中塑膠袋更是我們生活中最頻繁被使用到的塑膠類型，但其實不是所有塑膠袋都能回收喔！最好記的心法就是：「材質單一、外觀乾淨」，只要掌握這兩個原則確實在回收前確認油脂、雜質都清理乾淨，也將外包裝的貼紙撕去後就可以塑膠回收了。但隨著限塑政策的推進，自備可重複使用的環保袋才是省錢又環保。	"塑膠袋是有在回收，但回收率？（很多民眾反應，清潔隊根本直接丟一般垃圾）
塑膠袋的部分是可以回收的，但需要單一且透明的塑膠袋(https://hwms.epa.gov.tw/dispPageBox/pubweb/pubwebCP.aspx?ddsPageID=RESOURCEANDRESOURCES&&dbid=4098713924)"	153	A		便當打開會都是滿滿三色豆
薄塑膠盒	RE-THINK	小菜盒、菜市場塑膠盒	◯			✕	薄塑膠盒-塑膠(PE、PP)		不須拆解-塑膠(PE、PP )	清理			薄塑膠盒-一般塑膠類		可回收	3	透明且材質單一可以回收	無資料	-	-	逛菜市場時，常可以看到各種炸物、涼拌菜和甘蔗雞，在薄而透明的盒子中整齊陳列販售著，油潤鮮香在透明的包裝下一覽無遺。打開盒子即可馬上食用，不用費心烹煮的美味是婆婆媽媽們爭取繁忙家務中一點點優雅的秘密武器。但吃完後你會怎麼處理呢？材質單純的塑膠盒能以一般塑膠類回收，但記得先倒掉湯汁洗去油脂。下次可以帶著自己的便當盒去購買更環保喔。	文案好像有點衝突	164	C	"聽說薄片塑膠的回收率頗低?

翎：https://www.dep.gov.taipei/News_Content.aspx?n=CB6D5C560DE4D2DD&sms=72544237BBE4C5F6&s=D4A97ED3060003A0"	機車籃會被人家放垃圾
罐裝洋芋片		品客	◯			◯	"蓋子-塑膠
瓶身-鋁箔+紙
底座-鋁"		"蓋子-塑膠
瓶身-鋁箔+紙
底座-鋁"	清理、分解零件	底座連同瓶身回收即可，不需另外拆開		"蓋子-一般塑膠類
瓶身-紙容器
底座-金屬類"		可回收	2,5,6	"蓋子-可回收
瓶身+底座-可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	目前已經有可以將鋁箔與紙類分離的技術，所以將內部的餅乾屑吃完或倒掉，然後將鋁製底座拆下 ，簡單擦去油份後就可分別以金屬、紙類與塑膠上蓋分別回收。		72	B		打開洋芋片都會碎掉
袋裝洋芋片	RE-THINK	洋芋片	◯			◯	袋裝洋芋片-複合材質	含PET、PE、鋁等	袋子- 多層材質(含PET、PE、鋁等)	正確分類			袋裝洋芋片-一般垃圾		不可回收	2,3	不可回收		-	-	包裝洋芋片為了遮光與防潮以維持食物品質，會在塑膠膜中複合一層鋁箔來組隔光線造成的氧化。但這樣的包裝材質難以被分離純化，所以即使同樣是洋芋片，罐裝洋芋片可以被回收，但包裝洋芋片在吃完後只能以一般垃圾丟棄。		101	C		打開洋芋片都會碎掉
化妝品瓶罐	RE-THINK	化妝品	◯	使用-民眾不知道如何回收	處理-組成物品的材質複雜	◯	"瓶身-玻璃
瓶蓋-塑膠(PP/PE)"		"瓶身：玻璃
瓶蓋：塑膠(PP、PE)"	清洗、分解零件			"瓶身-玻璃容器類
瓶蓋-一般塑膠類"		可回收	5	"瓶身：可回收
瓶蓋：可回收"	無資料	-	-	你是不是覺得化妝台永遠缺一罐最新上市的化妝品呢？但你梳妝台上閒置已久的化妝品已經在一旁疊高高長灰塵，到了年末大掃除就面臨被掃地出門的命運嗎？丟掉前先"邱抖媽爹"！比較恰當的處理方式是將有化學物質的化妝品倒入塑膠袋內作為「一般垃圾」丟棄避免水源污染，容器拿去回收之前記得沖洗乾淨後以塑膠容器回收。也可以捐給社福團體讓有需要的人繼續延續這些化妝品的價值。		175	B		眼影會在最後一刻畫歪
電子發票	RE-THINK	感熱紙發票	◯	使用-民眾不知道如何回收		✕	電子發票-複合材質	含隱性染料、發展劑、均勻色料的敏化劑、穩定劑、防水塗層、紙	不須拆解-含隱性染料、發展劑、均勻色料的敏化劑、穩定劑、防水塗層、紙	正確分類			電子發票-一般垃圾		不可回收	1,5,6	不可回收		-	-	根據財政部統計數據，電子發票在2016年發行達55億張，而其中有八成被印製成實體發票，但這些用感熱紙印製的發票為了達到防水、防油、防熱等效果會添加各種化學物質，所以這些似紙非紙的電子發票其實是不能夠回收的。建議可以使用電子載具，環保又可以省下對發票的時間。但是長條的紙本發票對獎完倒是要記得紙類回收喔！		151	C	根據財政部統計數據，電子發票在2016年發行達55億張，而其中有八成被印製成實體發票，但這些用感熱紙印製的發票為了達到防水、防油、防熱等效果，會添加隱性染料、發展劑、均勻色料的敏化劑等化學物質，	店員存載具都會失敗
廢棄藥品	RE-THINK	藥品、藥粉、藥	◯	使用-民眾不知道如何回收		◯	"鋁片-鋁
塑膠包裝-塑膠
藥品-藥"		"外包裝-採多層材質(含鋁、塑膠)
藥品"	正確分類	將剩餘的錠劑、膠囊從包裝中取出，並集中在夾鏈袋中密封，丟到「一般垃圾」		"鋁片-一般垃圾
塑膠包裝-一般垃圾
藥品-一般垃圾"		不可回收	5	不可回收		-	-	藥治好你的病，但隨意丟棄剩下的藥或沖入馬桶，可能就換地球生病了。最常見的藥水應該倒入夾鏈袋中，以少量清水沖洗藥水罐後將水也倒入夾鏈袋中；如果是錠劑或膠囊則從包裝中取出集中在夾鏈袋。再將泡過的茶葉、咖啡渣或用過的擦手紙與廢藥混合後，將夾鏈袋密封丟到「一般垃圾」中處理。剩下的空罐可以塑膠容器回收，鋁箔藥錠包裝與膠囊則以一般垃圾處理。		165	C		看電影都會被後面的人踢椅背
膠囊咖啡	RE-THINK		◯	使用-回收前需要分離/沖洗	使用-民眾不知道如何回收	複雜	"封膜-複合材質
外殼-塑膠(PP)
內部濾網-鋁"	"封膜含鋁、塑膠
部分膠囊外殼為鋁製"	"封膜：塑膠
外殼：塑膠(PP) 、 鋁（雀巢高級咖啡才有）
內部濾網：鋁"	正確分類		成本耗費高，願意花心力處理的業者並不多，目前能真正被回收的膠囊咖啡其實少之又少，大多只能做為「一般垃圾」處理。	"封膜-一般垃圾
外殼-塑膠容器類
內部濾網-一般垃圾"		不可回收	3	"封膜：不可回收
外殼：可回收
內部濾網：不可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	膠囊咖啡雖然方便又快速，但在方便的背後卻會製造大量的垃圾，連膠囊咖啡的發明者約翰・希爾文（John Sylvan）都表示超後悔發明這項產品。這些容器的回收成本高，願意花心力成本處理的業者極少，大多只能做為一般垃圾處理，盡可能帶環保杯去購買或是自己沖泡，才是更環保、省錢又有生活情趣的選擇喔。	"政府有公告可回收嗎？或者是要給業者回收？Nexpresso的號稱全鋁？
沒有公告回收，有部分業者有自行回收(如：Nexpresso)"	145	C	沒有公告可回收，部分業者(如：Nespresso)有自行回收管道	吐司掉地上時都是抹醬那面朝下
隱形眼鏡	RE-THINK		◯	使用-民眾不知道如何回收		◯	"封膜-複合材質
塑膠容器-塑膠(PP)
鏡片-複合材質"	"封膜含鋁、塑膠
鏡片材質包含壓克力、矽氧樹脂、含氟聚合物"	"外盒：紙
盛裝容器：鋁、塑膠
鏡片：玻璃、塑膠

https://www.medpartner.club/contact-lenses-recycling-scheme/
https://hwms.epa.gov.tw/dispPageBox/pubweb/pubwebCP.aspx?ddsPageID=INFORMATION&dbid=409871772"	分解零件			"封膜-一般垃圾
塑膠容器-一般塑膠類
鏡片-一般垃圾"		部分可回收	5	"上蓋：不可回收
塑膠托盤：可回收
鏡片：不可回收"	無資料	-	-	"複合金屬的塑膠膜回收不易，應該直接丟入一般垃圾，裝隱形眼鏡的容器可以一般塑膠進行回收。那隱形眼鏡的本體呢？由矽水膠製成的隱形眼鏡體積小、材質不容易回收，應該以一般垃圾直接處理，千萬別隨手丟進馬桶沖掉喔！
你也可以選擇月拋或季拋的隱形眼鏡，清潔保養或許有一點點麻煩，但可以減少很多一次性的垃圾喔！"		147	C		一戴隱形眼鏡就會掉到洗手台
玩具	RE-THINK	玩具	◯			◯	玩具-複合材質	含塑膠、木頭、鐵	"不須拆解-
可能涵蓋材質(依玩具組成)：塑膠、鐵、不鏽鋼、橡膠、木頭"	正確分類			玩具-一般垃圾		不可回收	5	不可回收		-	-	塑膠玩具百百種，通常會為了更多樣的顏色而添加許多的重金屬著色定色，或是製壓特殊的造型而加入塑化劑，這些玩具雖然材質是塑膠，但無法被有效回收，只能以一般垃圾處理。但丟棄前可以讓孩子將不再玩的玩具跟其他孩子分享或交換，可以減少孩子一下就玩膩了而吵著買新玩具，也可以讓孩子們互相交流，既環保又能結交好朋友呢！		151	C	(靠文案引導, 不建議自行拆解做材料回收，但是盡可能二手利用)	就會踩到樂高
鋁箔包	RE-THINK	利樂包	◯			◯	"鋁箔包-複合材質(含紙、塑膠(PE)、鋁)
吸管-塑膠(PP/PE)
吸管套-塑膠(PP/PE)"		"鋁箔包：採多層材質(含紙、塑膠(PE)、鋁)
吸管：塑膠(PP、PE)
吸管套：塑膠(LDPE)"	分解零件、壓扁或攤平			"鋁箔包-廢鋁箔包
吸管-一般垃圾
吸管套-一般垃圾"		部分可回收	1,2,6	"鋁箔包-可回收
吸管-參考23項次"	廢鋁箔包：59.65%	廢鋁箔包：97.91%	廢鋁箔包：97.91%	看似紙質的包裝裡夾層裡，有鋁箔之稱但其實鋁只佔整體包材的5%。為阻止氣體流通、隔離光線並延緩氧化，鋁箔跟飲料之間還隔著兩層聚乙烯塑膠。這個有紙、有塑膠膜又有鋁金屬的容器在回收時不屬於任何一方，而是獨立出來的廢鋁箔包類，因為需要在特別的工廠以特殊的工法將這些材質分離才能回收，所以一定要清洗壓扁後集中回收喔。		153	A		買鋁箔包都會沒附吸管
油漆桶		油漆	◯			◯	"油漆-油漆
油漆桶-鐵/鋁"		"油漆
油漆桶：鐵鋁、塑膠"	清洗			"油漆-一般垃圾
油漆桶-廢鐵鋁容器"		可回收	5	可回收	廢鐵鋁容器：45.79%			塗刷完牆壁後難免會有油漆剩下，畢竟你不會三不五時就在漆油漆，但如果要保存到下次塗刷使用似乎遙遙無期，那麼剩下的油漆應該怎麼處理才對呢？首先應該先用報紙或破布將桶子中的油漆盡可能吸乾後丟入一般垃圾處理，空桶就可以交由回收人員以金屬類回收囉。		119	A		就會坐到油漆未乾的椅子
補充包		補充包、沐浴乳、洗髮精、洗碗精、洗衣精	◯			◯	補充包-複合材質	含PET、ONY、PE	不須拆解-採多層材質(可能含PET、ONY、PE)	清洗			補充包-一般垃圾		不可回收	5	不可回收				為了取代瓶罐、利於站立陳列，並達到遮光、耐磨、阻隔水分與空氣的效果，各種補充包材質會使用ONY尼龍膜、PET塑膠、LLDPE塑膠，但也因此這樣的複合材質分解處理困難，是無法回收的。所以環保補充包真的環保嗎？國內外現在都開始有業界嘗試建立自家產品容器的重複裝填回收系統，或許會讓消費的選擇變得少一點，但會是個更永續的選擇喔。		161	C	http://ge-sen.com.tw/products_con.php?idept=6&pk=145	倒補充包的時候都會滴出來
高壓瓶	RE-THINK	噴霧罐	◯			◯	"高壓瓶-鐵/鋁
瓶蓋-塑膠"		"不需拆解-鐵、鋁
瓶蓋-塑膠(PP、PE)"	排空內容物	請朝逆風方向於空曠處排空內容物，勿以外力方式破壞		"高壓瓶-廢鐵鋁容器
瓶蓋-一般塑膠類"		不可回收	3,4,5	可回收	廢鐵鋁容器：45.79%	"廢鐵容器：97.82%
廢鋁容器：99.51%"	"廢鐵容器：97.82%
廢鋁容器：99.51%"	卡式瓦斯、殺蟲劑、噴漆等填入高壓的液體該如何處理呢？回收前應確保內部填充物都已經排出，如果還有殘餘，應該帶到至空曠處並朝逆風方向將內容物排出，噴漆噴至廢布內後丟至一般垃圾，而且排出時不可敲打、壓扁、打洞或用火燒烤，應直接用原設計的噴口排出，否則很可能產生火花而爆炸呢！	https://www.dep.gov.taipei/News_Content.aspx?n=CB6D5C560DE4D2DD&sms=72544237BBE4C5F6&s=4D88A8815F80EA22	134	A		眼影會在最後一刻畫歪
旅行行李箱	RE-THINK	行李箱	◯	使用-民眾不知道如何回收		複雜	"拉桿-金屬/塑膠
箱體-布面/鋁鎂合金/塑膠
滑輪-塑膠"		"拉桿-金屬、 塑膠
箱體-布面 、鋁鎂合金 、塑膠(ABS、 PP等)
滑輪-塑膠"	正確分類			"拉桿-部分縣市|可回收
箱體-部分縣市|可回收
滑輪-部分縣市|可回收"	可回收縣市：台北市、新竹市、桃園市	其他	5	可回收縣市：台北市、新竹市、桃園市	無資料	-	-	住在使用專用垃圾袋、垃圾處理費隨袋徵收的城市時，看著家中壞掉的行李箱，你可能會想著要購買裝得下它的專用袋而頭痛荷包要失血，但也不可能等到農曆新年才拿到垃圾集中處丟棄。別擔心，台北市、新竹市、桃園市目前已公告旅行箱可以進行回收，而且不用大費周章特別拆解，只要確認裡面藏的私房錢沒有忘記拿出來，就可以交由回收人員處理了。(但如果你有很多個行李箱要處理就需要居家以大型垃圾先聯繫相關單位喔)		192	B		出門都會忘記帶行動電源
